STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840101,-9999,19.1,24.0,15.0
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840102,-9999,18.2,25.4,13.0
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840103,-9999,17.7,23.4,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840104,-9999,18.2,25.0,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840105,-9999,18.7,-9999,11.7
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840106,-9999,19.2,24.8,11.0
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840107,-9999,18.6,23.8,14.5
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840108,-9999,18.7,26.9,9.0
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840109,-9999,18.6,25.0,12.8
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840110,-9999,18.0,23.8,12.0
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840111,-9999,19.7,24.7,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840112,-9999,17.8,24.6,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840113,-9999,17.7,23.6,12.3
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840114,-9999,17.4,23.2,11.9
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840115,-9999,18.3,26.4,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840116,-9999,18.3,-9999,10.5
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840117,-9999,19.6,24.0,14.3
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840118,-9999,19.8,23.5,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840119,-9999,18.3,23.5,13.8
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840120,-9999,18.6,-9999,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840121,-9999,17.2,23.7,11.5
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840122,-9999,16.7,22.8,10.4
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840123,-9999,16.2,22.3,-9999
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840124,-9999,16.8,22.9,11.8
GHCND:AEM00041194,DUBAI INTERNATIONAL AE,19840125,-9999,17.6,25.1,10.7
