YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
1983,01,01,   27.6,   14.0,-9999.0,-9999.0,-9999.0
1983,01,02,   30.2,   13.4,-9999.0,-9999.0,-9999.0
1983,01,03,   25.2,   14.3,-9999.0,-9999.0,-9999.0
1983,01,04,   23.5,   15.8,-9999.0,-9999.0,-9999.0
1983,01,05,-9999.0,   14.5,-9999.0,-9999.0,-9999.0
1983,01,06,   23.6,   14.1,-9999.0,-9999.0,-9999.0
1983,01,07,   23.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,08,   22.7,   13.4,-9999.0,-9999.0,-9999.0
1983,01,09,   27.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,10,   23.2,   14.7,-9999.0,-9999.0,-9999.0
1983,01,11,   22.0,   14.0,-9999.0,-9999.0,-9999.0
1983,01,12,   22.5,   11.5,-9999.0,-9999.0,-9999.0
1983,01,13,-9999.0,   11.8,-9999.0,-9999.0,-9999.0
1983,01,14,   22.3,   11.9,-9999.0,-9999.0,-9999.0
1983,01,15,   26.4,   14.4,-9999.0,-9999.0,-9999.0
1983,01,16,   22.9,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,17,   21.7,   11.2,-9999.0,-9999.0,-9999.0
1983,01,18,   23.4,   10.5,-9999.0,-9999.0,-9999.0
1983,01,19,   27.8,   12.9,-9999.0,-9999.0,-9999.0
1983,01,21,   19.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,22,   20.2,   12.0,-9999.0,-9999.0,-9999.0
1983,01,23,   22.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,24,   23.1,   13.8,-9999.0,-9999.0,-9999.0
1983,01,25,   19.9,   16.5,-9999.0,-9999.0,-9999.0
1983,01,26,   19.8,   16.6,-9999.0,-9999.0,-9999.0
1983,01,27,   20.3,   16.1,-9999.0,-9999.0,-9999.0
1983,01,28,   19.8,   13.2,-9999.0,-9999.0,-9999.0
1983,01,29,   20.6,   13.1,-9999.0,-9999.0,-9999.0
1983,01,30,   19.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,01,31,   19.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,01,   19.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,02,   21.0,   11.1,-9999.0,-9999.0,-9999.0
1983,02,03,   20.1,    9.9,-9999.0,-9999.0,-9999.0
1983,02,04,   19.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,05,   21.2,   11.7,-9999.0,-9999.0,-9999.0
1983,02,06,   20.6,   12.9,-9999.0,-9999.0,-9999.0
1983,02,07,   23.0,   14.3,-9999.0,-9999.0,-9999.0
1983,02,08,   22.2,   13.9,-9999.0,-9999.0,-9999.0
1983,02,09,   21.2,   16.0,-9999.0,-9999.0,-9999.0
1983,02,10,   25.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,11,   18.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,12,   18.8,   14.7,-9999.0,-9999.0,-9999.0
1983,02,13,   20.2,   13.2,-9999.0,-9999.0,-9999.0
1983,02,14,   19.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,15,   21.5,   11.8,-9999.0,-9999.0,-9999.0
1983,02,16,   21.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,17,   27.7,   12.5,-9999.0,-9999.0,-9999.0
1983,02,18,   22.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,19,   26.9,   16.4,-9999.0,-9999.0,-9999.0
1983,02,20,   26.4,   17.8,-9999.0,-9999.0,-9999.0
1983,02,21,   28.2,   15.0,-9999.0,-9999.0,-9999.0
1983,02,22,   25.3,   16.7,-9999.0,-9999.0,-9999.0
1983,02,23,   21.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,24,   20.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,02,25,   21.2,   11.4,-9999.0,-9999.0,-9999.0
1983,02,26,-9999.0,   12.3,-9999.0,-9999.0,-9999.0
1983,02,27,-9999.0,   15.5,-9999.0,-9999.0,-9999.0
1983,02,28,   23.3,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,01,   19.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,02,   19.9,   12.8,-9999.0,-9999.0,-9999.0
1983,03,03,   20.8,   12.3,-9999.0,-9999.0,-9999.0
1983,03,04,   22.2,   12.0,-9999.0,-9999.0,-9999.0
1983,03,05,   29.7,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,06,-9999.0,   19.2,-9999.0,-9999.0,-9999.0
1983,03,07,   24.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,08,   20.5,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,09,   22.2,   12.8,-9999.0,-9999.0,-9999.0
1983,03,10,   22.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,11,   22.6,   11.6,-9999.0,-9999.0,-9999.0
1983,03,12,-9999.0,   15.2,-9999.0,-9999.0,-9999.0
1983,03,13,   22.0,   17.8,-9999.0,-9999.0,-9999.0
1983,03,14,   22.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,15,   23.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,16,-9999.0,   17.6,-9999.0,-9999.0,-9999.0
1983,03,17,   28.5,   17.5,-9999.0,-9999.0,-9999.0
1983,03,18,   21.8,   18.0,-9999.0,-9999.0,-9999.0
1983,03,19,   22.0,   15.0,-9999.0,-9999.0,-9999.0
1983,03,20,   22.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,21,   23.4,   12.7,-9999.0,-9999.0,-9999.0
1983,03,22,   29.8,   16.6,-9999.0,-9999.0,-9999.0
1983,03,23,   26.3,   19.6,-9999.0,-9999.0,-9999.0
1983,03,24,   24.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,03,25,   23.4,   15.4,-9999.0,-9999.0,-9999.0
1983,03,26,   24.8,   14.6,-9999.0,-9999.0,-9999.0
1983,03,27,   28.0,   13.6,-9999.0,-9999.0,-9999.0
1983,03,28,   28.0,   14.7,-9999.0,-9999.0,-9999.0
1983,03,29,   28.9,   15.6,-9999.0,-9999.0,-9999.0
1983,03,30,   30.4,   15.6,-9999.0,-9999.0,-9999.0
1983,03,31,   26.7,   18.3,-9999.0,-9999.0,-9999.0
1983,04,01,   25.8,   17.8,-9999.0,-9999.0,-9999.0
1983,04,02,   25.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,03,-9999.0,   14.8,-9999.0,-9999.0,-9999.0
1983,04,04,-9999.0,   18.4,-9999.0,-9999.0,-9999.0
1983,04,05,   22.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,06,   23.9,   16.5,-9999.0,-9999.0,-9999.0
1983,04,07,   24.5,   16.6,-9999.0,-9999.0,-9999.0
1983,04,08,   27.9,   16.5,-9999.0,-9999.0,-9999.0
1983,04,09,   31.3,   17.0,-9999.0,-9999.0,-9999.0
1983,04,10,   29.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,11,   28.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,12,   29.4,   19.8,-9999.0,-9999.0,-9999.0
1983,04,13,   28.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,14,   27.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,15,   26.1,   16.9,-9999.0,-9999.0,-9999.0
1983,04,16,   27.7,   17.5,-9999.0,-9999.0,-9999.0
1983,04,17,   30.7,   17.3,-9999.0,-9999.0,-9999.0
1983,04,18,   34.6,   17.6,-9999.0,-9999.0,-9999.0
1983,04,19,   34.7,   20.8,-9999.0,-9999.0,-9999.0
1983,04,20,   34.0,   20.3,-9999.0,-9999.0,-9999.0
1983,04,21,   31.8,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,22,   32.0,   19.2,-9999.0,-9999.0,-9999.0
1983,04,23,   34.1,   21.6,-9999.0,-9999.0,-9999.0
1983,04,24,   33.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,25,   34.6,   22.5,-9999.0,-9999.0,-9999.0
1983,04,26,   31.6,   21.9,-9999.0,-9999.0,-9999.0
1983,04,27,   30.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,04,28,   34.0,   18.8,-9999.0,-9999.0,-9999.0
1983,04,29,   34.7,   21.8,-9999.0,-9999.0,-9999.0
1983,04,30,-9999.0,   20.7,-9999.0,-9999.0,-9999.0
1983,05,01,   31.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,02,   35.3,   23.1,-9999.0,-9999.0,-9999.0
1983,05,03,   33.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,04,   29.6,   19.7,-9999.0,-9999.0,-9999.0
1983,05,05,   31.7,   20.4,-9999.0,-9999.0,-9999.0
1983,05,06,   35.6,   21.9,-9999.0,-9999.0,-9999.0
1983,05,07,   35.9,   22.3,-9999.0,-9999.0,-9999.0
1983,05,08,   36.4,   22.6,-9999.0,-9999.0,-9999.0
1983,05,09,   35.5,   24.6,-9999.0,-9999.0,-9999.0
1983,05,10,   37.0,   27.4,-9999.0,-9999.0,-9999.0
1983,05,11,   37.0,   23.9,-9999.0,-9999.0,-9999.0
1983,05,12,   36.7,   24.5,-9999.0,-9999.0,-9999.0
1983,05,13,   36.7,   24.0,-9999.0,-9999.0,-9999.0
1983,05,14,   40.1,   26.8,-9999.0,-9999.0,-9999.0
1983,05,15,   40.8,   27.7,-9999.0,-9999.0,-9999.0
1983,05,16,   41.0,   26.8,-9999.0,-9999.0,-9999.0
1983,05,17,   40.5,   27.0,-9999.0,-9999.0,-9999.0
1983,05,18,   41.6,   26.3,-9999.0,-9999.0,-9999.0
1983,05,19,   39.4,   26.1,-9999.0,-9999.0,-9999.0
1983,05,20,   35.8,   25.4,-9999.0,-9999.0,-9999.0
1983,05,21,   36.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,22,   37.3,   26.4,-9999.0,-9999.0,-9999.0
1983,05,23,   39.2,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,24,-9999.0,   27.4,-9999.0,-9999.0,-9999.0
1983,05,25,   42.6,   28.0,-9999.0,-9999.0,-9999.0
1983,05,26,   41.4,   26.2,-9999.0,-9999.0,-9999.0
1983,05,27,   38.6,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,28,   36.0,   25.1,-9999.0,-9999.0,-9999.0
1983,05,29,   38.1,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,30,   38.0,-9999.0,-9999.0,-9999.0,-9999.0
1983,05,31,   34.4,   24.4,-9999.0,-9999.0,-9999.0
1983,06,01,   36.3,-9999.0,-9999.0,-9999.0,-9999.0
1983,06,02,   39.2,   26.0,-9999.0,-9999.0,-9999.0
1983,06,03,   43.4,-9999.0,-9999.0,-9999.0,-9999.0
1983,06,04,   41.8,   27.6,-9999.0,-9999.0,-9999.0
