Duration,1-yr,2-yr,5-yr,10-yr,20-yr,50-yr,100-yr
6,5.29,6.51,8.20,9.55,10.90,12.87,14.43
12,8.36,10.48,13.15,15.09,16.88,19.28,21.00
18,10.45,12.93,15.96,18.07,19.98,22.44,24.14
30,13.09,16.24,20.40,23.55,26.59,30.82,33.99
60,16.09,19.95,26.15,31.83,38.28,49.19,59.12
120,20.53,26.12,34.57,41.87,49.75,62.31,73.08
180,23.78,30.51,40.52,49.02,58.08,72.29,84.27
360,29.52,37.77,50.31,61.20,73.01,91.95,108.27
720,35.87,45.92,60.74,73.23,86.43,106.94,124.10
1440,42.79,53.91,69.33,81.57,93.87,111.85,126.01
2880,49.30,61.24,77.03,88.97,100.48,116.53,128.56
4320,54.45,67.73,85.29,98.57,111.37,129.23,142.61
