"obs"	"tobs"	"month"	"day"	"year"	"Prec"
"1"	1	1	1	1	1900	0
"2"	2	2	1	2	1900	0
"3"	3	3	1	3	1900	0
"4"	4	4	1	4	1900	0
"5"	5	5	1	5	1900	0
"6"	6	6	1	6	1900	0
"7"	7	7	1	7	1900	0
"8"	8	8	1	8	1900	0
"9"	9	9	1	9	1900	0
"10"	10	10	1	10	1900	0
"11"	11	11	1	11	1900	0
"12"	12	12	1	12	1900	0
"13"	13	13	1	13	1900	0
"14"	14	14	1	14	1900	0
"15"	15	15	1	15	1900	0.1
"16"	16	16	1	16	1900	0.03
"17"	17	17	1	17	1900	0
"18"	18	18	1	18	1900	0
"19"	19	19	1	19	1900	0
"20"	20	20	1	20	1900	0
"21"	21	21	1	21	1900	0
"22"	22	22	1	22	1900	0
"23"	23	23	1	23	1900	0
"24"	24	24	1	24	1900	0
"25"	25	25	1	25	1900	0
"26"	26	26	1	26	1900	0
"27"	27	27	1	27	1900	0
"28"	28	28	1	28	1900	0.08
"29"	29	29	1	29	1900	0.04
"30"	30	30	1	30	1900	0
"31"	31	31	1	31	1900	0
"32"	32	32	2	1	1900	0
"33"	33	33	2	2	1900	0
"34"	34	34	2	3	1900	0
"35"	35	35	2	4	1900	0
"36"	36	36	2	5	1900	0
"37"	37	37	2	6	1900	0
"38"	38	38	2	7	1900	0.02
"39"	39	39	2	8	1900	0
"40"	40	40	2	9	1900	0
"41"	41	41	2	10	1900	0
"42"	42	42	2	11	1900	0.04
"43"	43	43	2	12	1900	0.25
"44"	44	44	2	13	1900	0.19
"45"	45	45	2	14	1900	0.29
"46"	46	46	2	15	1900	0.08
"47"	47	47	2	16	1900	0.03
"48"	48	48	2	17	1900	0
"49"	49	49	2	18	1900	0
"50"	50	50	2	19	1900	0
"51"	51	51	2	20	1900	0
"52"	52	52	2	21	1900	0
"53"	53	53	2	22	1900	0
"54"	54	54	2	23	1900	0
"55"	55	55	2	24	1900	0
"56"	56	56	2	25	1900	0
"57"	57	57	2	26	1900	0.11
"58"	58	58	2	27	1900	0.11
"59"	59	59	2	28	1900	0
"60"	60	60	3	1	1900	0
"61"	61	61	3	2	1900	0
"62"	62	62	3	3	1900	0
"63"	63	63	3	4	1900	0
"64"	64	64	3	5	1900	0
"65"	65	65	3	6	1900	0
"66"	66	66	3	7	1900	0
"67"	67	67	3	8	1900	0
"68"	68	68	3	9	1900	0
"69"	69	69	3	10	1900	0
"70"	70	70	3	11	1900	0
"71"	71	71	3	12	1900	0
"72"	72	72	3	13	1900	0
"73"	73	73	3	14	1900	0.22
"74"	74	74	3	15	1900	0.14
"75"	75	75	3	16	1900	0.07
"76"	76	76	3	17	1900	0
"77"	77	77	3	18	1900	0
"78"	78	78	3	19	1900	0
"79"	79	79	3	20	1900	0
"80"	80	80	3	21	1900	0
"81"	81	81	3	22	1900	0
"82"	82	82	3	23	1900	0
"83"	83	83	3	24	1900	0
"84"	84	84	3	25	1900	0
