anno,1h,3h,6h,12h,24h
1925,50,nan,nan,nan,nan
1928,35,47,50,50.4,67.6
1929,35.4,36.4,36.4,49.6,74
1930,67.2,68.2,80.8,102.2,106.8
1931,25.2,nan,nan,nan,nan
1932,35.2,nan,nan,nan,nan
1934,48.6,nan,nan,nan,nan
1935,36.4,55.2,81,94.4,149
1936,47.8,54.2,55.4,55.6,74.6
1937,39.4,41.4,41.4,50.2,81
1938,21.4,nan,nan,nan,nan
1939,33,35.6,53.8,58.6,60.6
1940,42,48.2,48.6,48.8,55.2 
1941,39.6,39.6,48,79,120 
1942,28,32.8,44.4,50,64.8 
1943,42.4,42.4,42.4,42.4,62.6 
1944,21.2,24.8,31,47,48.2 
1950,21.2,28,41.8,63.8,82.8 
1951,19.6,39.4,60,82.6,127.6 
1952,41.6,46.2,57.8,97.8,131.6
1955,51,30.8,50.4,79,93.8 
1956,32,57.4,80.4,108.8,164.4 
1957,27.4,35,36.4,38.2,58.4 
1958,35,41.2,49.4,80,88 
1959,21.6,55.6,82.2,129.6,169.4
1960,36.8,23.6,34.6,42.8,60.8 
1961,54.2,65.2,86.6,115.6,122.4
1962,39.4,39.4,45,70.4,93.6 
1963,30.6,42.2,42.2,51.2,58.8 
1964,30.6,35.8,39.4,66.6,83.4 
1965,33,45,46.6,71.8,100.6 
1966,32.2,37.4,64.2,95.4,150.2 
1967,38.4,47.2,56,65.6,68.2 
1968,33.4,47.2,48.2,58.8,70.4 
1969,31,39.4,42.4,53.2,64.2 
1971,37.4,39.6,42.2,49.4,67.8 
1972,36.8,40.6,40.8,41,49.2 
1973,39.2,48.4,48.4,48.4,53.8
1974,29.4,34,40,69,112.2
1975,40.4,61.2,92.6,123.4,123.4
1976,37.6,62.2,75.8,83.6,83.6
1977,30.4,40.6,70.6,87.8,90.6
1978,44,61.2,69,83.8,92.2
1979,38.6,52.8,54.8,70.2,84.2
1980,28.2,42.4,71.4,97.4,107.4
1984,61.2,61.4,61.4,62.6,81.8
1985,23.6,35.6,44.2,58.6,69.8
1986,20.2,36.8,51.4,55.8,74.4
1987,32.6,40.6,64.6,77.2,81.2
1988,89.2,102,102,102,104.2
